S1,S2,K,T,sigma1,sigma2,r,rho,option_type,M,Geometric,Arithmetic MC,MC Confidence Interval,Arithmetic Control Variate,Control Variate Confidence Interval
100,100,100,3,0.3,0.3,0.05,0.5,put,100000,11.4916,10.4664,"[10.3725, 10.5603]",10.5644,"[10.5522, 10.5766]"
100,100,100,3,0.3,0.3,0.05,0.9,put,100000,12.6224,12.3213,"[12.2165, 12.4261]",12.4275,"[12.4248, 12.4302]"
100,100,100,3,0.1,0.3,0.05,0.5,put,100000,6.5864,5.4624,"[5.4056, 5.5192]",5.5104,"[5.5019, 5.519]"
100,100,80,3,0.3,0.3,0.05,0.5,put,100000,4.7116,4.1966,"[4.1417, 4.2514]",4.2475,"[4.2398, 4.2552]"
100,100,120,3,0.3,0.3,0.05,0.5,put,100000,21.2891,19.7538,"[19.6207, 19.8869]",19.8618,"[19.8454, 19.8782]"
100,100,100,3,0.5,0.5,0.05,0.5,put,100000,23.4691,20.9343,"[20.7886, 21.08]",21.046,"[21.0177, 21.0742]"
100,100,100,3,0.3,0.3,0.05,0.5,call,100000,22.1021,24.465,"[24.2237, 24.7063]",24.518,"[24.4867, 24.5492]"
100,100,100,3,0.3,0.3,0.05,0.9,call,100000,25.8788,26.2861,"[26.0111, 26.561]",26.362,"[26.3556, 26.3684]"
100,100,100,3,0.1,0.3,0.05,0.5,call,100000,17.9247,19.464,"[19.2908, 19.6372]",19.4567,"[19.4375, 19.4759]"
100,100,80,3,0.3,0.3,0.05,0.5,call,100000,32.5363,35.4093,"[35.1404, 35.6782]",35.4115,"[35.3793, 35.4437]"
100,100,120,3,0.3,0.3,0.05,0.5,call,100000,14.6855,16.5383,"[16.3287, 16.7478]",16.6011,"[16.5716, 16.6306]"
100,100,100,3,0.5,0.5,0.05,0.5,call,100000,28.4494,34.9066,"[34.4344, 35.3789]",35.0316,"[34.9255, 35.1378]"
